sensor,district,n,mean_bias,baseline_rmse,RF_rmse,RF_gain,RF_train_r2,Ridge_rmse,Ridge_gain,Ridge_train_r2
Koivukylä center,Koivukylä,1561,1.4689211164242966,1.9995755016592387,1.0508045118504838,0.9487709898087548,0.9381292727042185,1.0107184165794325,0.9888570850798062,0.48727881659074407
Kuusitie 11,Koivukylä,1561,0.5934052151118622,1.8483638012782704,1.3021891229531029,0.5461746783251675,0.9433318072212934,1.2360320276702024,0.612331773608068,0.5507507537754155
Havukoski center,Koivukylä,1561,1.1685502213466958,1.6097751605631734,1.066447182262516,0.5433279783006575,0.9060805852848471,0.9681890755549079,0.6415860850082655,0.26711261155942284
Leinelä center,Koivukylä,1561,1.11155387624516,1.5817629595189686,1.0406553731450026,0.541107586373966,0.9093144192335577,0.9922627067588772,0.5895002527600914,0.2610734789829857
Koivukylä health station,Koivukylä,1561,1.0401387418434114,1.5702871532351454,1.072851171002777,0.4974359822323684,0.9153741656635036,1.0276973939540832,0.5425897592810622,0.29891573894019424
Rautkallio daycare,Koivukylä,1561,0.7468156554825945,1.3183445567358305,0.9767528629656359,0.3415916937701946,0.9127893016790958,0.9419990155113073,0.37634554122452324,0.27620475882340734
Kustaantie,Koivukylä,1561,0.4803246641627252,1.227430830942291,1.039331786546731,0.1880990443955599,0.9157523955454743,0.9613375160419777,0.2660933149003133,0.32589645260087186
Yliskyläntie 2,Laajasalo,1585,0.947486335700641,1.448932507714794,1.2660130073862548,0.18291950032853932,0.8882570798395661,1.2112824176794956,0.23765009003529847,0.066496053567955
Puuskaniementie 19,Laajasalo,1585,0.48756260098643206,1.5136706712451802,1.3442408632904381,0.16942980795474205,0.9226239316127881,1.2740018124692822,0.23966885877589794,0.3308243555953364
Poikasaartentie 4,Laajasalo,1585,-0.4810899086786754,1.3674423198367334,1.1981154027894005,0.16932691704733283,0.9337142676411894,1.084862509143288,0.2825798106934454,0.41314723460675556
Sahamaenkaari green,Koivukylä,1561,0.2122429734345246,1.286992321509213,1.1372628479404716,0.14972947356874133,0.9170693302127519,1.05769629460073,0.22929602690848294,0.3473948436999036
Holmanmoisionpolku 1,Laajasalo,1585,0.4314400764365947,1.409453122524944,1.2683069992144116,0.14114612331053245,0.9212868005580608,1.1832140246823764,0.22623909784256768,0.36831597265880694
Rudolfintie 19,Laajasalo,1585,0.4453756708191482,1.527608870700652,1.3963453340548233,0.1312635366458288,0.9251210975865118,1.3328258172102525,0.1947830534903996,0.33558364125921675
Jurmonkuja 1,Laajasalo,1585,0.5747503710900784,1.51670710429097,1.3917854912553478,0.12492161303562233,0.9183613090251308,1.3025974519665193,0.21410965232445078,0.3331675464723996
Sairaalakatu,Koivukylä,1561,0.3490705093980216,0.9707911483202043,0.8601636876054158,0.11062746071478846,0.9018921506178206,0.8312247650084847,0.13956638331171956,0.19841183752951402
Sarvastonkaari 1,Laajasalo,1585,0.21147461612370827,1.4583664367157085,1.3542070706427018,0.10415936607300669,0.9238729558368126,1.2854805868197505,0.172885849895958,0.34066358735961433
Koivutaival forest,Koivukylä,1561,-0.29926829731257276,1.0849940092425219,0.9926424385845907,0.0923515706579312,0.9078038339680203,0.9683013491021754,0.11669266014034652,0.21507891179767863
Kuunaritie 1,Laajasalo,1585,0.5093832853053484,1.4123759165591026,1.3230273390275158,0.08934857753158676,0.9128764659103259,1.28284138400417,0.12953453255493264,0.23766549174111148
Pojamankatu 1,Laajasalo,1585,0.5997847929704108,1.634143516936507,1.565369565379046,0.06877395155746102,0.9179514425153602,1.5010230322990388,0.13312048463746828,0.3019778074156091
Tuurholmanpolku,Laajasalo,1585,0.04730037605146787,1.3579446829439847,1.343599760470056,0.014344922473928712,0.9151479196821268,1.250367560016895,0.10757712292708965,0.3076031959422319
