sensor,district,built,mean_bias,baseline_rmse,rmse,gain
Koivukylä center,Koivukylä,0.875,1.4689211164242966,1.9995755016592387,1.4855023665667502,0.5140731350924885
Havukoski center,Koivukylä,0.6849173553719008,1.1685502213466958,1.6097751605631734,1.1550422224213701,0.45473293814180327
Leinelä center,Koivukylä,0.8068181818181818,1.11155387624516,1.5817629595189686,1.1385984548002648,0.44316450471870383
Koivukylä health station,Koivukylä,0.7634297520661157,1.0401387418434114,1.5702871532351454,1.2021732070213142,0.3681139462138312
Yliskyläntie 2,Laajasalo,0.5454545454545454,0.947486335700641,1.448932507714794,1.1552485418037013,0.2936839659110928
Rautkallio daycare,Koivukylä,0.5475206611570248,0.7468156554825945,1.3183445567358305,1.156819322535658,0.1615252342001725
Puuskaniementie 19,Laajasalo,0.2949260042283298,0.48756260098643206,1.5136706712451802,1.3670749940643228,0.14659567718085742
Kuunaritie 1,Laajasalo,0.2748414376321353,0.5093832853053484,1.4123759165591026,1.2683210553944702,0.1440548611646324
Jurmonkuja 1,Laajasalo,0.5993657505285412,0.5747503710900784,1.51670710429097,1.3953569438037219,0.12135016048724823
Kuusitie 11,Koivukylä,0.2520661157024793,0.5934052151118622,1.8483638012782704,1.7331363984874273,0.11522740279084309
Kustaantie,Koivukylä,0.2675619834710744,0.4803246641627252,1.227430830942291,1.1182165351364992,0.10921429580579178
Tuurholmanpolku,Laajasalo,0.022198731501057,0.04730037605146787,1.3579446829439847,1.2797521934532623,0.07819248949072244
Rudolfintie 19,Laajasalo,0.6490486257928119,0.4453756708191482,1.527608870700652,1.4843493310054585,0.04325953969519358
Sarvastonkaari 1,Laajasalo,0.4112050739957716,0.21147461612370827,1.4583664367157085,1.4211697188784944,0.03719671783721412
Koivutaival forest,Koivukylä,0.0,-0.29926829731257276,1.0849940092425219,1.0563169998052817,0.028677009437240164
Pojamankatu 1,Laajasalo,0.8044397463002114,0.5997847929704108,1.634143516936507,1.6274883214886462,0.006655195447860862
Sairaalakatu,Koivukylä,0.4369834710743802,0.3490705093980216,0.9707911483202043,0.9686013041819824,0.0021898441382218747
Sahamaenkaari green,Koivukylä,0.0,0.2122429734345246,1.286992321509213,1.3007981565202928,-0.013805835011079903
Poikasaartentie 4,Laajasalo,0.0,-0.4810899086786754,1.3674423198367334,1.3891727223178485,-0.02173040248111513
Holmanmoisionpolku 1,Laajasalo,0.7684989429175476,0.4314400764365947,1.409453122524944,1.4599228548887548,-0.050469732363810804
