name,sensor_id,district,lat,lon,tree_100m,shrub_100m,grass_100m,crop_100m,built_100m,bare_100m,water_100m,wetland_100m,tree_250m,shrub_250m,grass_250m,crop_250m,built_250m,bare_250m,water_250m,wetland_250m,tree_500m,shrub_500m,grass_500m,crop_500m,built_500m,bare_500m,water_500m,wetland_500m,tree_1000m,shrub_1000m,grass_1000m,crop_1000m,built_1000m,bare_1000m,water_1000m,wetland_1000m
Rautkallio daycare,24E124136E146087,Koivukylä,60.32294,25.06572,0.4524793388429752,0.0,0.0,0.0,0.5475206611570248,0.0,0.0,0.0,0.4745158002038736,0.0,0.011892626571525655,0.0,0.5100237852531431,0.003567787971457696,0.0,0.0,0.5640078151546042,0.0,0.0076027862725110435,0.0,0.42511892626571524,0.003270472307169555,0.0,0.0,0.5771392081736909,0.0,0.05014899957428693,0.024957428693060876,0.34630693912303107,0.0014154959557258408,3.192848020434228e-05,0.0
Koivukylä health station,24E124136E146128,Koivukylä,60.31962470187571,25.05953654541,0.23450413223140495,0.0,0.0010330578512396695,0.0,0.7634297520661157,0.0010330578512396695,0.0,0.0,0.4704383282364934,0.0,0.014271151885830785,0.0,0.5151206252123683,0.00016989466530750936,0.0,0.0,0.4351427115188583,0.0,0.04396024464831804,0.0033554196398233095,0.5167770981991165,0.0007220523275569147,4.247366632687734e-05,0.0,0.4844934014474244,0.0,0.0979565772669221,0.08793103448275862,0.32807577692635165,0.0015325670498084292,1.0642826734780758e-05,0.0
Koivukylä center,24E124136E146155,Koivukylä,60.32381237386444,25.056895458613138,0.12190082644628099,0.0,0.0030991735537190084,0.0,0.875,0.0,0.0,0.0,0.4286442405708461,0.0,0.01783893985728848,0.0008494733265375467,0.5448521916411825,0.00781515460414543,0.0,0.0,0.5243374108053007,0.0,0.008664627930682976,0.00021236833163438667,0.46313285762827044,0.0036102616377845734,4.247366632687734e-05,0.0,0.566358024691358,0.0,0.04612601106853981,0.009653043848446147,0.37395700297999146,0.003895274584929757,1.0642826734780758e-05,0.0
Sahamaenkaari green,24E124136E140283,Koivukylä,60.31902912814716,25.08559466020529,0.9772727272727273,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.7443085287121984,0.0,0.14101257220523275,0.013761467889908258,0.10091743119266056,0.0,0.0,0.0,0.6052072714916752,0.0,0.09017159361196059,0.09586306489976215,0.20799354400271833,4.247366632687734e-05,0.0007220523275569147,0.0,0.5797041294167731,0.0,0.08246062154108132,0.1335781183482333,0.20344827586206896,0.0003618561089825458,0.0002554278416347382,0.00019157088122605365
Havukoski center,24E124136E146218,Koivukylä,60.32108766558408,25.071710650381757,0.31508264462809915,0.0,0.0,0.0,0.6849173553719008,0.0,0.0,0.0,0.5895344886170574,0.0,0.013761467889908258,0.0,0.39398572884811417,0.0027183146449201497,0.0,0.0,0.5878355419639824,0.0,0.019665307509344206,0.001783893985728848,0.38990825688073394,0.0008069996602106694,0.0,0.0,0.5665495955725841,0.0,0.0820774797786292,0.06296296296296296,0.28685610898254577,0.0011707109408258833,0.0002554278416347382,0.0001277139208173691
Sairaalakatu,24E124136E146190,Koivukylä,60.33326243702411,25.058774546806518,0.5630165289256198,0.0,0.0,0.0,0.4369834710743802,0.0,0.0,0.0,0.44954128440366975,0.0,0.0062861026163778455,0.00016989466530750936,0.5429833503227999,0.0010193679918450561,0.0,0.0,0.5452769283044513,0.0,0.044384981311586816,0.0013591573224600749,0.40562351342167857,0.0033554196398233095,0.0,0.0,0.7359199796126402,0.0,0.03093144750254842,0.001465341488277268,0.2294639823309548,0.002219249065579341,0.0,0.0
Kuusitie 11,24E124136E146069,Koivukylä,60.32773642005459,25.05280813096903,0.737603305785124,0.0,0.010330578512396695,0.0,0.25206611570247933,0.0,0.0,0.0,0.7895005096839959,0.0,0.0033978933061501867,0.0,0.2055725450220863,0.0015290519877675841,0.0,0.0,0.6415647298674821,0.0,0.011043153244988108,0.00012742099898063202,0.34365443425076453,0.0036102616377845734,0.0,0.0,0.6384429153924567,0.0,0.022617227319062183,0.001178644240570846,0.3309017159361196,0.00684887869520897,1.0618416581719335e-05,0.0
Leinelä center,24E124136E146083,Koivukylä,60.3242806019864,25.040422169662946,0.19111570247933884,0.0,0.002066115702479339,0.0,0.8068181818181818,0.0,0.0,0.0,0.2847434590553857,0.0,0.022086306489976216,0.0,0.6505266734624533,0.042643560992184845,0.0,0.0,0.607330954808019,0.0,0.022935779816513763,0.0026333673122663948,0.3447587495752633,0.02234114848793748,0.0,0.0,0.6374095359727544,0.0,0.05949340144742444,0.011260110685398042,0.28564282673478075,0.006108982545764155,8.514261387824607e-05,0.0
Kustaantie,24E124136E146118,Koivukylä,60.32569598999893,25.076084591672647,0.7324380165289256,0.0,0.0,0.0,0.2675619834710744,0.0,0.0,0.0,0.8076792388718994,0.0,0.0008494733265375467,0.0,0.19147128780156303,0.0,0.0,0.0,0.7231566428814136,0.0,0.007560312606184166,0.0,0.26851851851851855,0.0007645259938837921,0.0,0.0,0.6480630055342699,0.0,0.03071519795657727,0.0016815666240953598,0.317816091954023,0.0012026394210302256,0.0005214985100042572,0.0
Koivutaival forest,24E124136E146080,Koivukylä,60.32798317371719,25.034850310632546,0.9504132231404959,0.0,0.049586776859504134,0.0,0.0,0.0,0.0,0.0,0.8467550118926266,0.0,0.024634726469588857,0.0,0.07322460074753653,0.055385660890248045,0.0,0.0,0.6938498131158681,0.0,0.027013251783893986,0.0,0.25722052327556916,0.021916411824668705,0.0,0.0,0.686554960924227,0.0,0.031462368331634384,0.006264865783214407,0.2699520047570506,0.005765800203873598,0.0,0.0
Yliskyläntie 2,24E124136E146157,Laajasalo,60.18089723029303,25.050955366758195,0.4080338266384778,0.0,0.016913319238900635,0.0,0.5454545454545454,0.02959830866807611,0.0,0.0,0.4869684499314129,0.0,0.010973936899862825,0.0,0.4838820301783265,0.00720164609053498,0.010631001371742112,0.0003429355281207133,0.4875832053251408,0.0,0.017665130568356373,4.266939750810719e-05,0.3966547192353644,0.0045656255333674685,0.09259259259259259,0.0008960573476702509,0.484457671957672,0.0,0.03942652329749104,0.0008853899982932241,0.23251621437105308,0.0022081413210445467,0.23596176821983272,0.004544290834613415
