sensor,night_bias,day_bias,all_bias,built,water,night_minus_day
Pojamankatu 1,1.3755174033664768,0.1225263014182541,0.5997847929704108,0.8044397463002114,0.5295266405425282,1.2529911019482227
Yliskyläntie 2,1.118892619802354,0.9716190458985307,0.947486335700641,0.5454545454545454,0.4549947285187137,0.14727357390382345
Jurmonkuja 1,0.9897900193352712,0.3653197250975934,0.5747503710900784,0.5993657505285412,0.4929782459613035,0.6244702942376779
Rudolfintie 19,0.9161332842695752,0.29804397072651445,0.4453756708191483,0.6490486257928119,0.5380539428927589,0.6180893135430607
Holmanmoisionpolku 1,0.8613944458956202,0.05184728297236915,0.4314400764365947,0.7684989429175476,0.4865200692823255,0.809547162923251
Koivukylä center,0.8024885717243437,2.3419140744659677,1.4689211164242966,0.875,0.0015651059354714,-1.539425502741624
Havukoski center,0.6750667410384452,1.7028178245563348,1.1685502213466958,0.6849173553719008,0.0016430842600538,-1.0277510835178896
Leinelä center,0.6743815051792905,1.6202905991351526,1.1115538762451602,0.8068181818181818,0.0013516242927621,-0.9459090939558621
Koivukylä health station,0.615021248934093,1.789906609528977,1.0401387418434114,0.7634297520661157,0.0015987687094715,-1.174885360594884
Kuunaritie 1,0.593466914610139,0.8589772465662739,0.5093832853053484,0.2748414376321353,0.6550637706943331,-0.26551033195613494
Puuskaniementie 19,0.5090923296862949,0.5730954686319699,0.48756260098643206,0.2949260042283298,0.6371778396302096,-0.064003138945675
Rautkallio daycare,0.45363324368187036,1.1753317468800644,0.7468156554825945,0.5475206611570248,0.0015685148239777,-0.721698503198194
Sarvastonkaari 1,0.30555621554864004,-0.012011391420029684,0.2114746161237083,0.4112050739957716,0.5933564095605101,0.3175676069686697
Sairaalakatu,0.11760924560951252,0.7322553156590683,0.3490705093980216,0.4369834710743802,0.0015942014171057,-0.6146460700495557
Poikasaartentie 4,-0.039624940474279904,-0.7239066697455526,-0.48108990867867546,0.0,0.6649789000636123,0.6842817292712727
Tuurholmanpolku,-0.08907297044235586,0.2429205916306044,0.04730037605146785,0.022198731501057,0.4410847784266339,-0.33199356207296027
Kustaantie,-0.23366117862459806,1.1164248466931388,0.4803246641627252,0.2675619834710744,0.0016166653741297,-1.350086025317737
Sahamaenkaari green,-0.5204630912304652,1.034816719205812,0.2122429734345246,0.0,0.001754299247573,-1.5552798104362773
Koivutaival forest,-0.8194004073808231,0.2115741243334591,-0.29926829731257276,0.0,0.0013326893492182,-1.0309745317142822
Kuusitie 11,-0.8337945186334904,2.0783830463817954,0.5934052151118622,0.2520661157024793,0.0012002296535944,-2.912177565015286
